    type,   n,       vsize,  repeat,        t.ms,       mflop,     mflop/s
      si,  24,     1024000,     100,    1978.434,         204,     103.112
      si,  24,     5120000,     100,    2082.099,        1024,     491.811
      si,  24,    10240000,     100,    3018.833,        2048,     678.408
      si,  24,    20480000,     100,    3870.885,        4096,    1058.156
      si,  24,    40960000,     100,    6414.741,        8192,    1277.059
      si,  24,    81920000,     100,   12497.351,       16384,    1310.998
      si,  24,   163840000,     100,   20628.001,       32768,    1588.520
    type,   n,       vsize,  repeat,        t.ms,       mflop,     mflop/s
      pi,  24,     1024000,     100,    2065.904,         204,      98.746
      pi,  24,     5120000,     100,    1917.744,        1024,     533.961
      pi,  24,    10240000,     100,    2090.418,        2048,     979.708
      pi,  24,    20480000,     100,    3120.384,        4096,    1312.659
      pi,  24,    40960000,     100,    5088.050,        8192,    1610.047
      pi,  24,    81920000,     100,    9201.974,       16384,    1780.487
      pi,  24,   163840000,     100,   17167.968,       32768,    1908.671
